City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Nouadhibou,MR,2022-09-30 18:02:55,20.931,-17.0347,74.48,72,27,23.4
59,Carolina,PR,2022-09-30 17:59:55,18.3808,-65.9574,88.72,78,72,1.99
60,Bethel,US,2022-09-30 17:56:37,41.3712,-73.414,63.01,68,100,1.01
61,Jiaojiang,CN,2022-09-30 18:02:56,28.6803,121.4428,73.08,97,34,3.29
62,Ulladulla,AU,2022-09-30 18:02:56,-35.35,150.4667,52.81,79,100,9.53
63,Carutapera,BR,2022-09-30 18:02:57,-1.195,-46.02,86.13,61,67,11.81
64,Sola,VU,2022-09-30 18:02:57,-13.8833,167.55,80.2,67,82,5.28
65,Puerto Ayora,EC,2022-09-30 18:01:31,-0.7393,-90.3518,67.55,91,95,8.01
66,Georgetown,MY,2022-09-30 17:53:43,5.4112,100.3354,82.33,83,40,7.0
67,Norman Wells,CA,2022-09-30 18:00:51,65.282,-126.8329,48.43,69,100,6.29
68,Ahar,IR,2022-09-30 18:02:58,38.4774,47.0699,61.21,57,0,4.92
69,Talnakh,RU,2022-09-30 18:02:58,69.4865,88.3972,29.12,98,99,5.66
70,Vila Franca Do Campo,PT,2022-09-30 18:02:59,37.7167,-25.4333,75.2,79,72,3.53
71,Portland,US,2022-09-30 18:00:36,45.5234,-122.6762,63.28,85,52,5.01
72,Kapaa,US,2022-09-30 18:02:59,22.0752,-159.319,80.58,89,4,6.89
73,Khatanga,RU,2022-09-30 18:03:00,71.9667,102.5,28.76,95,100,11.5
74,Strezhevoy,RU,2022-09-30 18:03:00,60.7333,77.5889,27.72,85,67,5.37
75,Vaini,TO,2022-09-30 17:52:02,-21.2,-175.2,71.76,83,40,9.22
76,Liverpool,GB,2022-09-30 17:59:39,53.4106,-2.9779,58.95,90,40,10.36
77,Cidreira,BR,2022-09-30 17:53:53,-30.1811,-50.2056,64.02,75,99,17.6
78,Gazli,UZ,2022-09-30 18:03:01,40.1333,63.45,68.77,19,87,12.53
79,Bougouni,ML,2022-09-30 18:03:01,11.417,-7.479,81.77,71,97,2.17
80,Cabo San Lucas,MX,2022-09-30 18:02:21,22.8909,-109.9124,93.61,64,0,3.31
81,Lasa,IT,2022-09-30 18:03:02,46.6166,10.7002,50.36,97,100,1.72
82,Aykhal,RU,2022-09-30 18:03:02,66.0,111.5,13.42,97,95,4.25
83,Tessalit,ML,2022-09-30 18:02:18,20.1986,1.0114,100.58,13,48,7.87
84,Sorland,NO,2022-09-30 18:03:03,67.667,12.6934,49.86,59,20,10.11
85,Selenduma,RU,2022-09-30 18:03:04,50.9131,106.2406,35.13,80,100,10.38
86,Tuktoyaktuk,CA,2022-09-30 17:53:39,69.4541,-133.0374,30.2,100,100,13.8
87,Tura,IN,2022-09-30 18:03:04,25.5198,90.2201,75.6,88,100,3.06
88,Lloydminster,CA,2022-09-30 18:00:02,53.2835,-110.0016,55.62,82,75,9.22
89,Sovetskiy,RU,2022-09-30 18:03:05,61.3614,63.5842,26.85,71,12,5.12
90,Airai,TL,2022-09-30 18:03:05,-8.9266,125.4092,61.5,94,100,1.28
91,Witu,KE,2022-09-30 18:03:06,-2.3889,40.4382,75.36,79,79,10.49
92,Port Keats,AU,2022-09-30 18:03:06,-14.25,129.55,80.65,79,99,4.7
93,Tiksi,RU,2022-09-30 17:53:52,71.6872,128.8694,13.86,95,73,7.05
94,Shiliguri,IN,2022-09-30 18:04:07,26.7,88.4333,78.26,80,14,4.47
95,Vestmanna,FO,2022-09-30 18:04:08,62.1564,-7.1664,49.12,93,100,13.8
96,Bam,IR,2022-09-30 18:04:08,29.106,58.357,81.3,10,0,9.91
97,Mayo,US,2022-09-30 18:04:09,38.8876,-76.5119,63.36,79,75,8.05
98,Anchorage,US,2022-09-30 18:00:03,61.2181,-149.9003,48.92,94,100,3.44
99,Yerbogachen,RU,2022-09-30 18:04:10,61.2767,108.0108,24.1,71,55,3.47
100,Port Elizabeth,ZA,2022-09-30 18:03:24,-33.918,25.5701,67.1,92,20,14.0
101,Hilo,US,2022-09-30 18:04:10,19.7297,-155.09,81.28,84,91,1.01
102,Pisco,PE,2022-09-30 18:04:11,-13.7,-76.2167,67.01,68,100,8.03
103,Mount Gambier,AU,2022-09-30 18:04:11,-37.8333,140.7667,45.3,91,6,5.84
104,Pingliang,CN,2022-09-30 18:04:12,35.5392,106.6861,64.26,70,100,0.72
105,Sur,OM,2022-09-30 18:04:12,22.5667,59.5289,81.16,75,1,11.63
106,Cabanas,CU,2022-09-30 18:04:13,22.9758,-82.9219,81.82,67,39,10.98
107,Fortuna,US,2022-09-30 18:04:15,40.5982,-124.1573,73.92,65,0,1.99
108,Tasiilaq,GL,2022-09-30 18:04:16,65.6145,-37.6368,42.96,75,100,4.79
109,Hovd,MN,2022-09-30 18:04:17,48.0056,91.6419,26.24,31,0,3.6
110,Indian Head,US,2022-09-30 18:04:18,38.6001,-77.1622,62.08,74,0,5.01
111,Torbay,CA,2022-09-30 18:04:18,47.6666,-52.7314,60.89,73,29,5.01
112,Rikitea,PF,2022-09-30 18:04:19,-23.1203,-134.9692,73.53,78,88,15.7
113,Kijang,KR,2022-09-30 18:04:19,35.2442,129.2139,68.23,62,24,3.09
114,Faanui,PF,2022-09-30 18:04:20,-16.4833,-151.75,77.47,72,0,11.01
115,Pangody,RU,2022-09-30 18:04:20,65.85,74.4859,29.19,84,93,6.98
116,Salalah,OM,2022-09-30 17:55:01,17.0151,54.0924,78.87,81,97,4.29
117,Razole,IN,2022-09-30 18:04:21,16.4833,81.8333,75.65,96,100,5.03
118,Byron Bay,AU,2022-09-30 17:52:10,-28.65,153.6167,58.96,87,89,11.97
119,Esperance,AU,2022-09-30 18:04:21,-33.8667,121.9,50.11,86,39,10.51
120,Kloulklubed,PW,2022-09-30 18:04:22,7.0419,134.2556,75.7,74,31,7.76
121,Novobirilyussy,RU,2022-09-30 18:04:22,56.9514,90.6661,29.95,78,100,4.41
122,Khartoum,SD,2022-09-30 18:04:23,15.5518,32.5324,89.02,59,97,17.69
123,Inhambane,MZ,2022-09-30 18:04:23,-23.865,35.3833,70.77,80,0,8.81
124,Lethem,GY,2022-09-30 18:04:24,3.3803,-59.7968,92.16,47,67,1.68
125,Yining,CN,2022-09-30 18:04:25,29.0361,114.5636,77.14,64,22,1.83
126,Udachnyy,RU,2022-09-30 18:04:25,66.4167,112.4,16.0,97,98,4.25
127,Encruzilhada Do Sul,BR,2022-09-30 18:04:26,-30.5439,-52.5219,53.85,96,100,4.16
128,Canandaigua,US,2022-09-30 18:04:26,42.8742,-77.288,62.19,64,95,1.01
129,Codrington,AU,2022-09-30 18:04:27,-38.2667,141.9667,43.14,96,54,7.0
130,Powell,US,2022-09-30 18:02:19,40.1578,-83.0752,67.17,54,0,9.22
131,Wajima,JP,2022-09-30 18:04:27,37.4,136.9,68.67,75,19,2.51
132,Port Augusta,AU,2022-09-30 17:56:31,-32.5,137.7667,52.81,67,22,6.15
133,Avarua,CK,2022-09-30 18:04:26,-21.2078,-159.775,71.65,73,75,5.75
134,Braganca,BR,2022-09-30 18:04:28,-1.0536,-46.7656,88.57,54,67,8.93
135,Havre-Saint-Pierre,CA,2022-09-30 18:04:29,50.2334,-63.5986,50.07,76,14,22.84
136,Kutahya,TR,2022-09-30 18:04:29,39.4242,29.9833,67.66,51,1,4.61
137,Maraa,BR,2022-09-30 18:05:29,-1.8333,-65.3667,98.24,31,51,4.36
138,Mingguang,CN,2022-09-30 18:05:30,32.7802,117.9638,72.88,89,84,5.86
139,Dutse,NG,2022-09-30 18:05:30,11.7594,9.3392,84.81,52,100,4.32
140,Kruisfontein,ZA,2022-09-30 18:05:31,-34.0033,24.7314,64.89,90,100,18.3
141,Luan,CH,2022-09-30 18:05:31,46.3592,6.9759,48.36,90,98,1.52
142,Banda Aceh,ID,2022-09-30 18:05:32,5.5577,95.3222,78.67,82,100,12.3
143,Dargaville,NZ,2022-09-30 18:01:07,-35.9333,173.8833,59.25,98,100,6.08
144,San Patricio,US,2022-09-30 18:05:33,28.017,-97.5169,89.55,41,0,5.91
145,Hamilton,US,2022-09-30 18:04:17,39.1834,-84.5333,71.4,51,0,11.5
146,Castro,BR,2022-09-30 18:01:55,-24.7911,-50.0119,57.58,88,100,6.78
147,Bokovskaya,RU,2022-09-30 18:05:34,49.229,41.8306,64.17,62,69,6.71
148,Palmer,US,2022-09-30 18:05:34,42.1584,-72.3287,63.25,62,100,6.91
149,Oildale,US,2022-09-30 18:05:35,35.4197,-119.0195,84.78,44,0,3.44
150,Birao,CF,2022-09-30 18:05:35,10.2849,22.7882,78.82,68,94,3.87
151,Touros,BR,2022-09-30 18:05:36,-5.1989,-35.4608,83.17,56,75,18.05
152,Cockburn Town,TC,2022-09-30 18:05:36,21.4612,-71.1419,82.06,71,57,12.33
153,Giresun,TR,2022-09-30 18:02:05,40.5,38.5,45.73,68,2,4.32
154,Eureka,US,2022-09-30 18:05:40,40.8021,-124.1637,74.19,51,0,4.76
155,Saint-Pierre,RE,2022-09-30 18:05:40,-21.3393,55.4781,69.48,73,0,9.22
156,Luderitz,NA,2022-09-30 18:05:41,-26.6481,15.1594,60.15,67,60,19.08
157,Bredasdorp,ZA,2022-09-30 18:01:53,-34.5322,20.0403,54.36,88,81,5.95
