City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Slantsy,RU,59.1182,28.0914,45.84,77,100,4.81,overcast clouds
80,Zhashkiv,UA,49.2454,30.1102,51.66,78,99,19.69,overcast clouds
81,Bletchley,GB,51.9933,-0.7347,63.18,52,75,8.05,broken clouds
82,Navahrudak,BY,53.6,25.8333,44.64,93,100,5.48,overcast clouds
83,Chalette-Sur-Loing,FR,48.0134,2.7359,69.22,70,93,12.48,overcast clouds
84,Hvolsvollur,IS,63.7533,-20.2243,48.87,74,78,9.66,light rain
85,Kursk,RU,51.7303,36.1939,61.0,94,100,15.66,light rain
86,Dingle,PH,10.9995,122.6711,76.91,91,98,6.55,overcast clouds
87,Bud,US,39.447,-86.1758,68.36,70,0,13.49,clear sky
88,Fort-Shevchenko,KZ,44.5086,50.263,70.34,46,49,18.59,scattered clouds
89,Mezen,RU,65.8522,44.24,39.58,94,86,4.36,overcast clouds
90,Kunya,NG,12.2233,8.5325,86.16,66,0,8.05,clear sky
91,Sandwick,GB,60.0,-1.25,55.22,88,40,19.57,light rain
92,Ostrovnoy,RU,68.0531,39.5131,37.24,79,90,7.31,overcast clouds
93,Gurlan,UZ,41.8447,60.3919,51.71,18,76,11.45,broken clouds
94,Camacha,PT,33.0833,-16.3333,71.02,68,40,8.05,scattered clouds
95,Lubawa,PL,53.5043,19.7497,52.41,75,96,10.42,moderate rain
96,Raudeberg,NO,61.9875,5.1352,50.67,1,88,16.26,overcast clouds
97,Rochegda,RU,62.8,43.25,43.36,93,100,7.16,overcast clouds
98,Skjervoy,NO,70.0311,20.9714,33.8,67,10,1.34,clear sky
99,Imatra,FI,61.1719,28.7524,45.12,77,85,3.11,overcast clouds
100,Sidi Ali,DZ,36.0998,0.4206,80.33,42,37,12.12,scattered clouds
101,Leshukonskoye,RU,64.8989,45.7622,40.3,95,100,4.21,overcast clouds
102,Matlock,GB,53.1384,-1.5556,61.74,65,10,7.29,clear sky
103,Mokrous,RU,51.2333,47.5167,67.01,55,95,15.14,overcast clouds
104,Olawa,PL,50.9466,17.2926,53.96,86,90,11.23,overcast clouds
105,Voyvozh,RU,62.892,54.9635,44.15,95,100,10.76,moderate rain
106,Ieper,BE,50.8511,2.8857,61.93,77,63,6.31,broken clouds
107,Sorland,NO,67.667,12.6934,51.66,90,100,12.77,overcast clouds
108,Saint-Gaudens,FR,43.0833,0.6667,68.02,73,100,2.82,overcast clouds
109,Verkhnyaya Inta,RU,65.9811,60.3094,40.77,87,100,8.84,overcast clouds
110,Budingen,DE,50.3,9.1167,57.88,95,100,5.26,overcast clouds
111,Velizh,RU,55.6056,31.1967,45.86,94,100,9.8,overcast clouds
112,Nizhniy Baskunchak,RU,48.2198,46.8311,70.29,48,100,20.85,overcast clouds
113,Chaykovskiy,RU,56.7686,54.1148,51.98,67,100,13.2,light rain
114,Ornskoldsvik,SE,63.2909,18.7153,50.95,100,75,6.91,broken clouds
115,Peniche,PT,39.3558,-9.3811,89.29,41,0,14.81,clear sky
116,Bronnoysund,NO,65.4625,12.1997,51.8,87,75,5.01,broken clouds
117,Andenes,NO,69.3143,16.1194,40.98,81,34,3.44,scattered clouds
118,Ponta Do Sol,PT,32.6667,-17.1,76.71,76,38,4.76,scattered clouds
119,New Scone,GB,56.4194,-3.4051,60.53,72,86,5.99,overcast clouds
120,Blyznyuky,UA,48.8578,36.5551,60.4,92,100,16.04,light rain
121,Koygorodok,RU,60.445,50.9968,51.21,95,100,10.94,overcast clouds
122,Honningsvag,NO,70.9821,25.9704,42.55,81,75,0.0,broken clouds
123,Ejea De Los Caballeros,ES,42.1263,-1.1372,84.42,29,25,3.67,scattered clouds
124,Sebinkarahisar,TR,40.2883,38.4236,64.74,35,100,4.41,overcast clouds
125,Vestbjerg,DK,57.1317,9.9594,55.74,82,20,10.36,few clouds
126,Shumerlya,RU,55.5005,46.4129,56.19,94,100,5.19,overcast clouds
127,Baherden,TM,38.4362,57.4316,62.4,23,0,5.28,clear sky
128,Santander,ES,43.4647,-3.8044,69.71,79,0,8.05,clear sky
129,Onega,RU,63.9061,38.1404,39.78,86,98,5.21,overcast clouds
130,Brodnica,PL,53.2597,19.3965,55.42,71,99,10.33,overcast clouds
131,Constantine,DZ,36.365,6.6147,83.61,30,0,5.75,clear sky
132,Ardatov,RU,55.2421,43.097,56.3,88,100,6.53,overcast clouds
133,Campbeltown,GB,55.4258,-5.6076,57.25,81,83,10.6,broken clouds
134,Kamo,JP,37.65,139.05,63.61,92,100,4.47,overcast clouds
135,Eyrarbakki,IS,63.863,-21.1481,48.25,79,70,12.01,moderate rain
136,Nova Odesa,UA,47.3078,31.7851,57.24,67,81,18.23,broken clouds
137,Koroni,GR,36.8,21.95,78.08,60,0,12.06,clear sky
138,Joensuu,FI,62.6012,29.7632,45.09,100,100,5.75,overcast clouds
139,Aktau,KZ,43.65,51.2,68.58,30,20,25.88,few clouds
140,Rathcoole,IE,53.2828,-6.4728,59.68,72,75,8.05,broken clouds
